author,affiliations
"Name(first='Anna', last='Rogers')",University of Copenhagen; IT University of Copenhagen
"Name(first='Marzena', last='Karpinska')",University of Massachusetts Amherst
"Name(first='Jordan', last='Boyd-Graber')",University of Maryland
"Name(first='Naoaki', last='Okazaki')",Tokyo Institute of Technology
"Name(first='Yajiao', last='Liu')","The Chinese University of Hong Kong, Shenzhen"
"Name(first='Xin', last='Jiang')",Huawei Noah’s Ark Lab
"Name(first='Yichun', last='Yin')",Noah’s Ark Lab of Huawei
"Name(first='Yasheng', last='Wang')",Huawei Noah’s Ark Lab
"Name(first='Fei', last='Mi')",huawei
"Name(first='Qun', last='Liu')",Huawei Noah’s Ark Lab
"Name(first='Xiang', last='Wan')",Shenzhen Research Institute of Big Data
"Name(first='Benyou', last='Wang')","The Chinese University of Hong Kong, Shenzhen"
"Name(first='Mian', last='Zhang')",Soochow University
"Name(first='Lifeng', last='Jin')",Tencent AI LAB
"Name(first='Linfeng', last='Song')",Tencent AI LAB
"Name(first='Haitao', last='Mi')",Tencent America
"Name(first='Wenliang', last='Chen')",Soochow University
"Name(first='Dong', last='Yu')",Tencent AI LAB
"Name(first='David', last='Dale')",Meta AI
"Name(first='Elena', last='Voita')",Meta AI
"Name(first='Loic', last='Barrault')",Meta AI
"Name(first='Marta R.', last='Costa-jussà')",Meta AI
"Name(first='Hao', last='Cheng')",Shenzhen University; Microsoft Research
"Name(first='Shuo', last='Wang')",Shenzhen University; Tsinghua university; Meituan
"Name(first='Wensheng', last='Lu')",Shenzhen University
"Name(first='Wei', last='Zhang')",Shenzhen University; University of Science and Technology of China
"Name(first='Mingyang', last='Zhou')",Shenzhen University; Post Doctoral Research Scientist at Columbia University
"Name(first='Kezhong', last='Lu')",Shenzhen University
"Name(first='Hao', last='Liao')",Shenzhen University
"Name(first='Zechun', last='Liu')",Meta Inc
"Name(first='Barlas', last='Oguz')",Facebook AI
"Name(first='Aasish', last='Pappu')",Meta AI
"Name(first='Yangyang', last='Shi')",Meta AI
"Name(first='Raghuraman', last='Krishnamoorthi')",Meta
"Name(first='Björn', last='Bebensee')",Samsung Research
"Name(first='Haejun', last='Lee')",Samsung Research
"Name(first='Yiyang', last='Li')",Shanghai Jiao Tong University
"Name(first='Hai', last='Zhao')",Shanghai Jiao Tong University
"Name(first='Sreyan', last='Ghosh')",University of Maryland College Park
"Name(first='Utkarsh', last='Tyagi')","MIDAS Lab, IIIT Delhi"
"Name(first='Manan', last='Suri')",Netaji Subhas University of Technology
"Name(first='Sonal', last='Kumar')",Cisco Systems
"Name(first='Ramaneswaran', last='S')",VIT University
"Name(first='Dinesh', last='Manocha')",University of Maryland
"Name(first='Pengcheng', last='Yin')",Google
"Name(first='Wen-Ding', last='Li')",Cornell University
"Name(first='Kefan', last='Xiao')",Google
"Name(first='Abhishek', last='Rao')",Google
"Name(first='Yeming', last='Wen')",University of Texas at Austin
"Name(first='Kensen', last='Shi')",Google
"Name(first='Joshua', last='Howland')",Google
"Name(first='Paige', last='Bailey')",Google Research
"Name(first='Michele', last='Catasta')",Google
"Name(first='Henryk', last='Michalewski')","Google, University of Warsaw"
"Name(first='Oleksandr', last='Polozov')",Google
"Name(first='Charles', last='Sutton')",Google
"Name(first='Hiroyuki', last='Deguchi')",Nara Institute of Science and Technology
"Name(first='Taro', last='Watanabe')",Nara Institute of Science and Technology
"Name(first='Yusuke', last='Matsui')",The University of Tokyo
"Name(first='Masao', last='Utiyama')",NICT
"Name(first='Hideki', last='Tanaka')",NICT
"Name(first='Eiichiro', last='Sumita')",NICT
"Name(first='Xu', last='Zhang')",Southeast University; peking university
"Name(first='Xiaojun', last='Wan')",peking university
"Name(first='Iria', last='de-Dios-Flores')",Universidade de Santiago de Compostela. CiTIUS center on Intelligent Technologies.
"Name(first='Juan', last='Garcia Amboage')",Universidade de Santiago de Compostela
"Name(first='Marcos', last='Garcia')",Universidade de Santiago de Compostela
"Name(first='Xiaobo', last='Liang')",Soochow University
"Name(first='Zecheng', last='Tang')",Soochow University
"Name(first='Juntao', last='Li')",Soochow University
"Name(first='Min', last='Zhang')",Harbin Institute of Technology (Shenzhen); Huawei Translation Services Center; Soochow University; huawei
"Name(first='Gabriella', last='Chronis')",The University of Texas at Austin
"Name(first='Kyle', last='Mahowald')",University of Texas at Austin
"Name(first='Katrin', last='Erk')",University of Texas at Austin
"Name(first='Ryosuke', last='Yamaki')",Ritsumeikan University
"Name(first='Tadahiro', last='Taniguchi')",Ritsumeikan University
"Name(first='Daichi', last='Mochihashi')",The Institute of Statistical Mathematics
"Name(first='Zujie', last='Liang')",Ant Group
"Name(first='Feng', last='Wei')",Ant Group
"Name(first='Yin', last='Jie')",MYB
"Name(first='Yuxi', last='Qian')",antgroup
"Name(first='Zhenghong', last='Hao')",MyBank
"Name(first='Bing', last='Han')",MyBank
"Name(first='Yubing', last='Ren')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Yanan', last='Cao')","Institute of Information Engineering, Chinese Academy of Science"
"Name(first='Ping', last='Guo')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Fang', last='Fang')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Wei', last='Ma')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Zheng', last='Lin')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Wenhao', last='Wu')",peking university
"Name(first='Wei', last='Li')",Baidu Inc.; Nanyang Technological University
"Name(first='Xinyan', last='Xiao')",Baidu Inc.
"Name(first='Jiachen', last='Liu')",baidu
"Name(first='Sujian', last='Li')",pku.edu.cn
"Name(first='Yajuan', last='Lyu')",Baidu Inc.
"Name(first='Fukun', last='Ma')","School of Software, Tsinghua University"
"Name(first='Xuming', last='Hu')","School of Software, Tsinghua University"
"Name(first='Aiwei', last='Liu')","School of Software, Tsinghua University"
