author,affiliations
"Name(first='Doug', last='Downey')",Allen Institute for Artificial Intelligence and Northwestern University
"Name(first='Heng', last='Ji')","University of Illinois, Urbana-Champaign"
"Name(first='Tom', last='Hope')","Allen Institute for Artificial Intelligence and Hebrew University, Hebrew University of Jerusalem"
"Name(first='Yiren', last='Jian')",ByteDance Inc.
"Name(first='Tingkai', last='Liu')",Cold Spring Harbor Laboratory
"Name(first='Yunzhe', last='Tao')",Bytedance
"Name(first='Chunhui', last='Zhang')",Dartmouth College
"Name(first='Soroush', last='Vosoughi')",Dartmouth College
"Name(first='Hongxia', last='Yang')",Unknown; ByteDance Inc.
"Name(first='Abhishek', last='Kumar')",Unknown; Google DeepMind
"Name(first='Robert', last='Morabito')",Unknown
"Name(first='Sanzhar', last='Umbet')",Unknown
"Name(first='Jad', last='Kabbara')",Massachusetts Institute of Technology
"Name(first='Ali', last='Emami')",Brock University
"Name(first='Weixuan', last='Wang')",University of Edinburgh
"Name(first='Barry', last='Haddow')",University of Edinburgh; U. Edinburgh
"Name(first='Alexandra', last='Birch')",University of Edinburgh
"Name(first='Brendan', last='Park')",Unknown
"Name(first='Madeline', last='Janecek')",Unknown
"Name(first='Naser', last='Ezzati-Jivan')",Brock University
"Name(first='Yifeng', last='Li')",Brock University
"Name(first='Sarfaroz', last='Yunusov')",Unknown
"Name(first='Alexandria', last='Leto')",University of Colorado at Boulder
"Name(first='Elliot', last='Pickens')","Department of Computer Science, University of Wisconsin - Madison"
"Name(first='Coen', last='Needell')",Unknown
"Name(first='David', last='Rothschild')","Research, Microsoft"
"Name(first='Maria Leonor', last='Pacheco')",University of Colorado at Boulder
"Name(first='Xiyao', last='Wang')",Unknown
"Name(first='Yuhang', last='Zhou')",Unknown
"Name(first='Xiaoyu', last='Liu')","University of Maryland, College Park"
"Name(first='Hongjin', last='Lu')",Unknown
"Name(first='Yuancheng', last='Xu')",Unknown
"Name(first='Feihong', last='He')",Unknown
"Name(first='Jaehong', last='Yoon')",University of North Carolina at Chapel Hill
"Name(first='Taixi', last='Lu')",Unknown
"Name(first='Fuxiao', last='Liu')",Unknown
"Name(first='Gedas', last='Bertasius')","University of North Carolina, Chapel Hill"
"Name(first='Mohit', last='Bansal')",Unknown; University of North Carolina at Chapel Hill
"Name(first='Huaxiu', last='Yao')","Department of Computer Science, University of North Carolina at Chapel Hill"
"Name(first='Furong', last='Huang')",University of Maryland
"Name(first='Chufan', last='Gao')",Unknown
"Name(first='Xuan', last='Wang')",Virginia Polytechnic Institute and State University
"Name(first='Jimeng', last='Sun')","University of Illinois, Urbana Champaign, College of Computing and Georgia Institute of Technology"
"Name(first='Letian', last='Peng')",Unknown
"Name(first='Yuwei', last='Zhang')","University of California, San Diego"
"Name(first='Zilong', last='Wang')","University of California, San Diego"
"Name(first='Jayanth', last='Srinivasa')",Unknown
"Name(first='Gaowen', last='Liu')",Unknown
"Name(first='Zihan', last='Wang')",Unknown
"Name(first='Jingbo', last='Shang')","University of California, San Diego; Unknown"
"Name(first='Paiheng', last='Xu')","Department of Computer Science, University of Maryland, College Park"
"Name(first='Bang', last='An')","University of Maryland, College Park"
"Name(first='Wei', last='Ai')","University of Maryland, College Park"
"Name(first='Qi', last='Cheng')",Unknown
"Name(first='Michael', last='Boratko')",Google
"Name(first='Pranay Kumar', last='Yelugam')",Unknown
"Name(first='Tim', last='O’Gorman')",Unknown
"Name(first='Nalini', last='Singh')",Unknown
"Name(first='Andrew', last='McCallum')",University of Massachusetts Amherst and University of Massachusetts Amherst
"Name(first='Xiang', last='Li')","Unknown; East China Normal University; Massachusetts General Hospital, Harvard University"
"Name(first='Yueqi', last='Xie')",Unknown
"Name(first='Minghong', last='Fang')",Duke University
"Name(first='Renjie', last='Pi')",Unknown
"Name(first='Neil', last='Gong')",Duke University
"Name(first='Gyeongeun', last='Lee')",Unknown
"Name(first='Christina', last='Wong')",Unknown
"Name(first='Meghan', last='Guo')",Unknown
"Name(first='Natalie', last='Parde')",University of Illinois Chicago
"Name(first='Luran', last='Wang')",Unknown
"Name(first='Mark', last='Gales')",University of Cambridge
"Name(first='Vatsal', last='Raina')",Unknown
"Name(first='Siffi', last='Singh')",Unknown
"Name(first='Sailik', last='Sengupta')",Amazon
"Name(first='Igor', last='Shalyminov')",Amazon
"Name(first='Hang', last='Su')",Amazon
"Name(first='Hwanjun', last='Song')",Korea Advanced Institute of Science & Technology
"Name(first='Saab', last='Mansour')",Amazon
"Name(first='Taiqi', last='He')",Unknown
"Name(first='Kwanghee', last='Choi')",Unknown
"Name(first='Lindia', last='Tjuatja')","CMU, Carnegie Mellon University"
"Name(first='Nathaniel', last='Robinson')","Department of Computer Science, Whiting School of Engineering"
"Name(first='Jiatong', last='Shi')",Unknown; CMU
"Name(first='Shinji', last='Watanabe')",Carnegie Mellon University; CMU
"Name(first='Graham', last='Neubig')",Carnegie Mellon University
"Name(first='David', last='Mortensen')",Carnegie Mellon University
"Name(first='Lori', last='Levin')","School of Computer Science, Carnegie Mellon University"
"Name(first='Yibo', last='Hu')",Georgia Institute of Technology
"Name(first='Erick', last='Skorupa Parolin')",Unknown
"Name(first='Latifur', last='Khan')",University of Texas at Dallas
"Name(first='Patrick', last='Brandt')",University of Texas at Dallas
