author,affiliations
"Name(first='Chia-Wei', last='Tang')",Unknown
"Name(first='Chris', last='Thomas')",Virginia Polytechnic Institute and State University
"Name(first='Yutao', last='Zeng')",ByteDance Inc.
"Name(first='Yuxin', last='Zuo')",Unknown
"Name(first='Weicheng', last='Ren')",Chinese Academy of Sciences
"Name(first='Wenxuan', last='Liu')",Unknown
"Name(first='Miao', last='Su')","institute of computing technology, Chinese Academy of Sciences"
"Name(first='Yucan', last='Guo')","institute of computing technology, Chinese Academy of Sciences"
"Name(first='Yantao', last='Liu')",Unknown
"Name(first='Lixiang', last='Lixiang')",Unknown
"Name(first='Zhilei', last='Hu')",Chinese Academy of Sciences
"Name(first='Long', last='Bai')","institute of computing technology, Chinese Academy of Sciences"
"Name(first='Yidan', last='Liu')",Unknown
"Name(first='Pan', last='Yang')",Unknown
"Name(first='Xiaolong', last='Jin')","institute of computing technology, Chinese Academy of Sciences"
"Name(first='Jiafeng', last='Guo')","Institute of Computing Technolgy, Chinese Academy of Sciences"
"Name(first='Yanming', last='Liu')",Unknown
"Name(first='Xinyue', last='Peng')",Unknown
"Name(first='Tianyu', last='Du')",Zhejiang University
"Name(first='Jianwei', last='Yin')",Zhejiang University
"Name(first='Weihao', last='Liu')",Unknown; Renmin University of China
"Name(first='Xuhong', last='Zhang')",Zhejiang University
"Name(first='Xuan', last='Zhang')",Unknown
"Name(first='Yifei', last='Yuan')",Copenhagen University
"Name(first='Shihan', last='Deng')",Unknown
"Name(first='Weikai', last='Xu')",Unknown
"Name(first='Hongda', last='Sun')",Unknown
"Name(first='Tao', last='Tan')",Unknown
"Name(first='Liujianfeng', last='Liujianfeng')",Unknown
"Name(first='Ang', last='Li')","Unknown; Software, Xiaomi Inc."
"Name(first='Jian', last='Luan')",Unknown
"Name(first='Bin', last='Wang')","Unknown; AI Lab, Xiaomi Inc.; I2R, A*STAR"
"Name(first='Shuo', last='Shang')",Unknown
"Name(first='Chen', last='Zhang')",Peking University; National University of Singapore
"Name(first='Mingxu', last='Tao')",Unknown
"Name(first='Quzhe', last='Huang')",Unknown
"Name(first='Jiuheng', last='Lin')",Unknown
"Name(first='Zhibin', last='Chen')",Unknown
"Name(first='Yansong', last='Feng')",Peking University
"Name(first='Zhexin', last='Zhang')",Tsinghua University
"Name(first='Junxiao', last='Yang')",Unknown
"Name(first='Tristan', last='Thrush')",Stanford University
"Name(first='Jared', last='Moore')","Computer Science Department, Stanford University"
"Name(first='Miguel', last='Monares')",Unknown
"Name(first='Douwe', last='Kiela')",Stanford University
"Name(first='Tian', last='Yu')",Unknown
"Name(first='Le', last='Zhuo')",Unknown
"Name(first='Zewen', last='Chi')",Beijing Institute of Technology
"Name(first='Minghao', last='Xu')",Unknown
"Name(first='Jianan', last='Zhao')",Unknown
"Name(first='Heqi', last='Zheng')",Unknown
"Name(first='Conghui', last='He')",shanghai ai lab
"Name(first='Wentao', last='Zhang')",Peking University
"Name(first='Tianjie', last='Ju')",Unknown
"Name(first='Yijin', last='Chen')",Shanghai Jiaotong University
"Name(first='Xinwei', last='Yuan')",Unknown
"Name(first='Wei', last='Du')",Unknown
"Name(first='Yubin', last='Zheng')",Shanghai Jiao Tong University
"Name(first='Abdelrahman', last='Zayed')",Unknown
"Name(first='Goncalo', last='Mordido')",Unknown
"Name(first='Ioana', last='Baldini')",Unknown
"Name(first='Manuel', last='Tonneau')","Oxford Internet Institute, University of Oxford"
"Name(first='Pedro', last='Quinta De Castro')",Unknown
"Name(first='Karim', last='Lasri')",The World Bank
"Name(first='Ibrahim', last='Farouq')",Unknown
"Name(first='Lakshmi', last='Subramanian')",New York University
"Name(first='Victor', last='Orozco-Olvera')",Unknown
"Name(first='Samuel', last='Fraiberger')",World Bank
"Name(first='Zhe', last='Chen')",Unknown
"Name(first='Heyang', last='Liu')",Unknown
"Name(first='Wenyi', last='Yu')",Unknown
"Name(first='Guangzhi', last='Sun')",Unknown
"Name(first='Hongcheng', last='Liu')",Shanghai Jiaotong University
"Name(first='Ji', last='Wu')",Tsinghua University
"Name(first='Yu', last='Wang')",Shanghai Jiao Tong University; Universität Bielefeld; Unknown
"Name(first='Yanfeng', last='Wang')",Shanghai Jiao Tong University
"Name(first='Nakyeong', last='Yang')",Seoul National University
"Name(first='Taegwan', last='Kang')",Unknown
"Name(first='Stanley Jungkyu', last='Choi')","Language Lab, LG AI Research"
"Name(first='Honglak', last='Lee')",University of Michigan - Ann Arbor and LG AI Research
"Name(first='Kyomin', last='Jung')",Unknown
"Name(first='Yufeng', last='Zhang')",Unknown
"Name(first='Jianxing', last='Yu')",Sun Yat-Sen University
"Name(first='Yanghui', last='Rao')",Sun Yat-Sen University
"Name(first='Libin', last='Zheng')",Sun Yat-Sen University
"Name(first='Qinliang', last='Su')",Sun Yat-Sen University
"Name(first='Huaijie', last='Zhu')",Sun Yat-Sen University
"Name(first='Jian', last='Yin')",Unknown
"Name(first='Keqin', last='Peng')",Unknown
"Name(first='Yancheng', last='Yuan')",The Hong Kong Polytechnic University
"Name(first='Yuanxin', last='Ouyang')",Beihang University
"Name(first='Mingyu', last='Zheng')",University of Chinese Academy of Sciences
"Name(first='Xinwei', last='Feng')",Baidu
"Name(first='Qingyi', last='Si')",Unknown
"Name(first='Qiaoqiao', last='She')",Unknown
"Name(first='Zheng', last='Lin')","Institute of Information Engineering, Chinese Academy of Sciences"
"Name(first='Wenbin', last='Jiang')",Beijing Normal University
"Name(first='Weiping', last='Wang')",Unknown
"Name(first='Huang', last='Lei')",Unknown
"Name(first='Jiaming', last='Guo')",Unknown
"Name(first='Guanhua', last='He')",Unknown
"Name(first='Xishan', last='Zhang')","Chinese Academy of Sciences and, Cambricon Techonologies"
"Name(first='Rui', last='Zhang')","Institute of Computing Technology, CAS; Pennsylvania State University"
"Name(first='Shaohui', last='Peng')",Chinese Academy of Sciences
"Name(first='Shaoli', last='Liu')",Cambricon Technologies
"Name(first='Tianshi', last='Chen')","Chinese Academy of Sciences and, Cambricon Technologies"
"Name(first='Mayur', last='Patidar')","Tata Consultancy Services Limited, India"
"Name(first='Riya', last='Sawhney')",Unknown
"Name(first='Avinash', last='Singh')","Tata Consultancy Services Limited, India"
"Name(first='Biswajit', last='Chatterjee')","Tata Consultancy Services Limited, India"
"Name(first='Liang', last='Chen')","Unknown; Chinese University of Hong Kong, The Chinese University of Hong Kong"
"Name(first='Yatao', last='Bian')",Unknown
"Name(first='Deng', last='Cai')",Tencent AI Lab
"Name(first='Shuaiyi', last='Li')","Chinese University of Hong Kong, The Chinese University of Hong Kong"
"Name(first='Peilin', last='Zhao')",Tencent AI Lab
"Name(first='Kam-Fai', last='Wong')",The Chinese University of Hong Kong; Unknown
"Name(first='Yang', last='Zhang')",University of Illinois at Urbana-Champaign; Unknown
"Name(first='Keqin', last='Bao')",Unknown
"Name(first='Ming', last='Yan')",Unknown
"Name(first='Wenjie', last='Wang')",National University of Singapore
"Name(first='Fuli', last='Feng')",University of Science and Technology of China
"Name(first='Xiangnan', last='He')",University of Science and Technology of China
"Name(first='Yuhao', last='Wang')",Shanghai Jiaotong University; Renmin University of China
"Name(first='Yusheng', last='Liao')",Unknown
"Name(first='Jiachun', last='Li')",Unknown
"Name(first='Pengfei', last='Cao')","Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
"Name(first='Chenhao', last='Wang')",Unknown
"Name(first='Zhuoran', last='Jin')",Unknown
"Name(first='Daojian', last='Zeng')",Hunan Normal University
"Name(first='Yi', last='Liu')",Nanjing University; Unknown; State Key Laboratory of Communication Content Cognition; Peking University
"Name(first='Xiangyu', last='Liu')",Nanjing University
"Name(first='Xiangrong', last='Zhu')",Unknown
"Name(first='Byeonghu', last='Na')",Korea Advanced Institute of Science and Technology
"Name(first='Suhyeon', last='Jo')",Korea Advanced Institute of Science & Technology
"Name(first='Yeongmin', last='Kim')",Korea Advanced Institute of Science and Technology
"Name(first='Il-chul', last='Moon')",Korea Advanced Institute of Science and Technology
"Name(first='Guangjun', last='Zhang')",Unknown
"Name(first='Hu', last='Zhang')",Shanxi University
"Name(first='YuJie', last='Wang')",Shanxi University
"Name(first='Ru', last='Li')",Shanxi University
"Name(first='Hongye', last='Tan')",Shanxi University
"Name(first='Jiye', last='Liang')",Shanxi University
"Name(first='Wenyan', last='Li')",Unknown
"Name(first='Jiaang', last='Li')",Unknown
"Name(first='Rita', last='Ramos')",Instituto Superior Técnico
"Name(first='Raphael', last='Tang')",Comcast
"Name(first='Desmond', last='Elliott')",University of Copenhagen
"Name(first='Huijie', last='Yao')",University of Science and Technology of China
"Name(first='Wengang', last='Zhou')",University of Science and Technology of China
"Name(first='Hao', last='Zhou')","Tencent, Wechat AI; Baidu"
"Name(first='Houqiang', last='Li')",Unknown
"Name(first='Kanzhi', last='Cheng')",Nanjing University
"Name(first='Yougang', last='Chu')",Unknown
"Name(first='Fangzhi', last='Xu')",Xi’an jiaotong University
"Name(first='Li', last='YanTao')",Unknown
"Name(first='Jianbing', last='Zhang')",Nanjing University
"Name(first='Zhiyong', last='Wu')",Shanghai Artificial Intelligence Laboratory
"Name(first='Yakir', last='Yehuda')",Unknown
"Name(first='Itzik', last='Malkiel')",Unknown
"Name(first='Oren', last='Barkan')",Open University of Israel
"Name(first='Jonathan', last='Weill')",Microsoft and Tel Aviv University
"Name(first='Royi', last='Ronen')",Microsoft
"Name(first='Noam', last='Koenigstein')",Tel Aviv University
"Name(first='Keyuchen', last='Keyuchen')",Unknown
"Name(first='Shujie', last='Wang')",Unknown
"Name(first='Peiji', last='Li')",Unknown
"Name(first='Hang', last='Yan')",AI lab
"Name(first='Philipp', last='Mondorf')",Ludwig-Maximilians-Universität München
"Name(first='Maria', last='Lerner')",Unknown
"Name(first='Florian', last='Dorner')","Max Planck Institute for Intelligent Systems, Max-Planck Institute and ETHZ - ETH Zurich"
"Name(first='Naman', last='Goel')",University of Oxford
"Name(first='Peiyi', last='Wang')",Unknown; Peking University
"Name(first='Lei', last='Li')","University of Hong Kong; Carnegie Mellon University; Tencent; Unknown; School of Computer Science, Carnegie Mellon University"
"Name(first='Zhihong', last='Shao')",Tsinghua University
"Name(first='Runxin', last='Xu')",Unknown; Peking University
"Name(first='Yifei', last='Li')",Unknown
"Name(first='Yu', last='Wu')",Microsoft
"Name(first='Dawei', last='Zhu')",Unknown
"Name(first='Binghuai', last='Lin')",Tencent
"Name(first='Yunbo', last='Cao')",Tencent
"Name(first='Tianyu', last='Liu')",Unknown
"Name(first='Meiqi', last='Chen')",Peking University
"Name(first='Yubo', last='Ma')","School of Computer Science and Engineering, Nanyang Technological University"
"Name(first='Kaitao', last='Song')",Microsoft
"Name(first='Yan', last='Zhang')",Peking University
"Name(first='Dingyi', last='Yang')",Renmin University of China
"Name(first='Chunru', last='Zhan')",Unknown
"Name(first='Ziheng', last='Wang')",Renmin University of China
"Name(first='Biao', last='Wang')",Alibaba Group
"Name(first='Wenting', last='Chen')",Unknown
"Name(first='Linlin', last='Shen')",Shenzhen University
"Name(first='Jingyang', last='Lin')",University of Rochester
"Name(first='Jiebo', last='Luo')",University of Rochester and University of Rochester
"Name(first='Yixuan', last='Yuan')",The Chinese University of Hong Kong
"Name(first='Zehui', last='Chen')",Unknown
"Name(first='Weihua', last='Du')",Tsinghua University
"Name(first='Kuikun', last='Liu')",Unknown
"Name(first='Jiangning', last='Liu')",Unknown
"Name(first='Miao', last='Zheng')",sensetime
"Name(first='Jingming', last='Zhuo')",Shanghai AI Lab and Jilin University
"Name(first='Songyang', last='Zhang')",Shanghai AI Laboratory
"Name(first='Feng', last='Zhao')",University of Science and Technology of China; Unknown
"Name(first='Xinyu', last='Hu')",Peking University
"Name(first='Mingqi', last='Gao')",Peking University
"Name(first='Sen', last='Hu')",Alibaba Group
"Name(first='Yicheng', last='Chen')",Unknown
"Name(first='Teng', last='Xu')",Unknown
"Name(first='Jiazhan', last='Feng')",Unknown
"Name(first='Chongyang', last='Tao')",Beihang University
"Name(first='Xiubo', last='Geng')",Microsoft
"Name(first='Tao', last='Shen')",Oracle
"Name(first='Guodong', last='Long')",University of Technology Sydney
"Name(first='Dongyan', last='Zhao')",Peking University
"Name(first='Daxin', last='Jiang')",Microsoft
"Name(first='Yaroslav', last='Aksenov')",Unknown
"Name(first='Nikita', last='Balagansky')",Unknown
"Name(first='Sofia', last='Lo Cicero Vaina')",Unknown
"Name(first='Boris', last='Shaposhnikov')",Unknown
"Name(first='Alexey', last='Gorbatovski')",Unknown
"Name(first='Daniil', last='Gavrilov')",Unknown
"Name(first='Tong', last='Liu')",Ludwig-Maximilians-Universität München
"Name(first='Iza', last='Škrjanec')",Unknown
"Name(first='Vera', last='Demberg')",Universität des Saarlandes
"Name(first='Ameer', last='Saadat-Yazdi')",Unknown
"Name(first='Nadin', last='Kökciyan')",University of Edinburgh
"Name(first='Jun', last='Zhan')",Unknown
"Name(first='Jiasheng', last='Ye')",Unknown
"Name(first='Yunhua', last='Zhou')",Unknown
"Name(first='Zhigeng', last='Liu')",Fudan University
"Name(first='Ruibin', last='Yuan')",Unknown
"Name(first='Ge', last='Zhang')",Unknown
"Name(first='Linyang', last='Li')",Unknown
"Name(first='Jie', last='Fu')",Hong Kong University of Science and Technology
"Name(first='Tianxiang', last='Sun')",Unknown
"Name(first='Yu-Gang', last='Jiang')",Fudan University
"Name(first='Zixin', last='Chen')",Beijing University of Posts and Telecommunications
"Name(first='Hongzhan', last='Lin')",Hong Kong Baptist University
"Name(first='Ziyang', last='Luo')",National University of Singapore and Hong Kong Baptist University
"Name(first='Mingfei', last='Cheng')",Singapore Management University
"Name(first='Jing', last='Ma')",Hong Kong Baptist University
"Name(first='Guang', last='Chen')",Unknown
"Name(first='Haoping', last='Bai')",Apple
"Name(first='Zhiyun', last='Lu')",Apple
"Name(first='Xiang', last='Kong')",Apple
"Name(first='Xiaoming', last='Wang')",Didi Research US
"Name(first='Jiulong', last='Shan')",Apple
"Name(first='Meng', last='Cao')",Apple; Mohamed bin Zayed University of Artificial Intelligence
"Name(first='Lijie', last='Wen')","School of Software, Tsinghua University"
"Name(first='Michael', last='Toker')",Unknown
"Name(first='Hadas', last='Orgad')","Computer Science Departmen, Technion-Israel Institute of Technology and Technion - Israel Institute of Technology, Technion - Israel Institute of Technology"
"Name(first='Mor', last='Ventura')",Unknown
"Name(first='Dana', last='Arad')","Computer Science Departmen, Technion-Israel Institute of Technology"
"Name(first='Yonatan', last='Belinkov')",Technion
"Name(first='Yuchong', last='Sun')",Unknown
"Name(first='Che', last='Liu')",Unknown
"Name(first='Kun', last='Zhou')",Unknown; Renmin University of China
"Name(first='Jinwen', last='Huang')",Unknown
"Name(first='Fuzheng', last='Zhang')",Unknown
"Name(first='Di', last='Zhang')",Kuaishou Technology
"Name(first='Kun', last='Gai')",Unknown
"Name(first='Yu', last='Zhang')",Harbin Institute Of Technology; Unknown; southern university of science and technology; Texas A&M University - College Station
"Name(first='Lin', last='Li')",Unknown
"Name(first='ZhuLiuchuan', last='ZhuLiuchuan')",Unknown
"Name(first='Zongyang', last='Li')",Unknown
"Name(first='Xueqing', last='Liu')",Stevens Institute of Technology
"Name(first='Guangtai', last='Liang')",Unknown
"Name(first='Qianxiang', last='Wang')",Peking University
"Name(first='Tao', last='Xie')",Unknown; Peking University
"Name(first='Donglei', last='Yu')",Unknown
"Name(first='Xiaomian', last='Kang')",Unknown
"Name(first='Yuchen', last='Liu')","Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
"Name(first='Yu', last='Zhou')","Institute of automation, Chinese Academy of Sciences"
"Name(first='Chengqing', last='Zong')","Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
"Name(first='Jiaqi', last='Chen')",Unknown; The University of Hong Kong
"Name(first='Bingqian', last='Lin')",Sun Yat-Sen University
"Name(first='Zhenhua', last='Chai')",MeiTuan
"Name(first='Xiaodan', last='Liang')",Unknown
"Name(first='Kwan-Yee', last='Wong')",The University of Hong Kong
"Name(first='Yifei', last='Wang')",Unknown
"Name(first='Dizhan', last='Xue')",Unknown
"Name(first='Shengjie', last='Zhang')",Unknown
"Name(first='Shengsheng', last='Qian')","Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
"Name(first='Giacomo', last='Frisoni')",Unknown
"Name(first='Alessio', last='Cocchieri')",University of Bologna
"Name(first='Alex', last='Presepi')",University of Bologna
"Name(first='Gianluca', last='Moro')",DISI - University of Bologna
"Name(first='Alena', last='Fenogenova')",SaluteDevices
"Name(first='Artem', last='Chervyakov')",Unknown
"Name(first='Nikita', last='Martynov')",New Economic School
"Name(first='Anastasia', last='Kozlova')",Unknown
"Name(first='Maria', last='Tikhonova')",Higher School of Economics
"Name(first='Albina', last='Akhmetgareeva')",Unknown
"Name(first='Anton', last='Emelyanov')",Unknown
"Name(first='Denis', last='Shevelev')",salute devices
"Name(first='Pavel', last='Lebedev')",Unknown
"Name(first='Leonid', last='Sinev')",SaluteDevices
"Name(first='Ulyana', last='Isaeva')",Unknown
"Name(first='Katerina', last='Kolomeytseva')",Unknown
"Name(first='Daniil', last='Moskovskiy')",Unknown
"Name(first='Nikita', last='Savushkin')",Stevenson University
"Name(first='Polina', last='Mikhailova')",salute devices
"Name(first='Anastasia', last='Minaeva')",Unknown
"Name(first='Sergey', last='Markov')",Unknown
"Name(first='Jie', last='Zhao')",Unknown
"Name(first='Ziyu', last='Guan')",Xidian University
"Name(first='Cai', last='Xu')",Xidian University
"Name(first='Wei', last='Zhao')",Unknown; University of Aberdeen
"Name(first='Yue', last='Jiang')",Unknown
"Name(first='Guanghui', last='Qin')",Unknown
"Name(first='Corby', last='Rosset')",Unknown
"Name(first='Ethan', last='Chau')",Microsoft
"Name(first='Nikhil', last='Rao')",Microsoft
"Name(first='Shilong', last='Pan')",Unknown
"Name(first='Zhiliang', last='Tian')",National University of Defense Technology
"Name(first='Haoqi', last='Zheng')",National University of Defense Technology
"Name(first='Zhen', last='Huang')",National University of Defense Technology
"Name(first='Zhihua', last='Wen')",National University of Defence Technology
"Name(first='Miao', last='Li')",Unknown
"Name(first='Ming-Bin', last='Chen')",Unknown
"Name(first='ShengbinHou', last='ShengbinHou')",Unknown
"Name(first='Pengyu', last='Wang')",Unknown
"Name(first='Keming', last='Mao')",Unknown
"Name(first='Yi', last='Luo')",Unknown
"Name(first='Shuaijie', last='She')",Unknown
"Name(first='Wei', last='Zou')",Unknown
"Name(first='Shujian', last='Huang')",Nanjing University
"Name(first='Wenhao', last='Zhu')",Nanjing University
"Name(first='Xiang', last='Geng')",Unknown
"Name(first='Jiajun', last='Chen')",Nanjing University
"Name(first='Feiteng', last='Fang')",Unknown
"Name(first='Yuelin', last='Bai')",Unknown
"Name(first='Xiaojun', last='Chen')",Shenzhen University
"Name(first='Jing Nathan', last='Yan')",Unknown
"Name(first='Tianqi', last='Liu')",Google
"Name(first='Justin', last='Chiu')",Cornell University
"Name(first='Jiaming', last='Shen')",Google DeepMind
"Name(first='Zhen', last='Qin')",Google
"Name(first='Charumathi', last='Lakshmanan')",Unknown
"Name(first='Yair', last='Kurzion')",Unknown
"Name(first='Alexander', last='Rush')","Cornell University and School of Engineering and Applied Sciences, Harvard University"
"Name(first='Jialu', last='Liu')",Google Research
"Name(first='Lvxiaowei', last='Xu')",Unknown
"Name(first='Zhilin', last='Gong')",Zhejiang University
"Name(first='Jianhua', last='Dai')",Unknown
"Name(first='Tianxiang', last='Wang')",Unknown
"Name(first='Ming', last='Cai')",Zhejiang University
"Name(first='Jiawei', last='Peng')",Unknown
"Name(first='Songju', last='Lei')","Honor Device Co., Ltd"
"Name(first='Mengjiao', last='Lyu')",Unknown
"Name(first='Jianqiao', last='Hu')",Unknown
"Name(first='Jintao', last='Tan')",South China University of Technology
"Name(first='Runlin', last='Liu')",Unknown
"Name(first='Lingyu', last='Xiong')",South China University of Technology
"Name(first='Xiandong', last='Li')",Huawei Technologies Ltd.
"Name(first='Miles', last='Williams')",University of Sheffield
"Name(first='Nikolaos', last='Aletras')","University of Sheffield, University of Sheffield and Amazon"
"Name(first='Prerna', last='Agarwal')","Indian Institute of Technology, Delhi"
"Name(first='Nishant', last='Kumar')",Unknown
"Name(first='Srikanta', last='Bedathur')","Indian Institute of Technology, Delhi and Indian Institute of Technology Delhi"
"Name(first='Yibin', last='Lei')",University of Amsterdam
"Name(first='Di', last='Wu')",Unknown; University of Amsterdam
"Name(first='Tianyi', last='Zhou')","University of Maryland, College Park"
"Name(first='Yu', last='Cao')",Unknown
"Name(first='Andrew', last='Yates')",University of Amsterdam
"Name(first='Jey Han', last='Lau')",The University of Melbourne
"Name(first='Chengjie', last='Zhou')",Unknown
"Name(first='Bobo', last='Li')",Wuhan University
"Name(first='Fei', last='Li')",Wuhan University
"Name(first='Chong', last='Teng')",Unknown
"Name(first='Donghong', last='Ji')",Unknown
"Name(first='Yifan', last='Peng')",Carnegie Mellon University
"Name(first='Yui', last='Sudo')",Unknown
"Name(first='Muhammad', last='Shakeel')","Honda Research Institution Japan Co., Ltd."
"Name(first='Sohee', last='Yang')","University College London, University of London, Department of Computer Science, DeepMind and Google"
"Name(first='Elena', last='Gribovskaya')",Deepmind Google
"Name(first='Nora', last='Kassner')",Google DeepMind
"Name(first='Sebastian', last='Riedel')",Google and University College London
"Name(first='Jiancan', last='Wu')",University of Science and Technology of China
"Name(first='Chuanqi', last='Tan')",Alibaba Group
"Name(first='Ankita', last='Gupta')",Unknown
"Name(first='Ethan', last='Zuckerman')",Unknown
"Name(first='Brendan', last='O’Connor')","University of Massachusetts, Amherst"
"Name(first='Gaetan', last='Latouche')",Ubisoft
"Name(first='Marc-André', last='Carbonneau')",Ubisoft
"Name(first='Benjamin', last='Swanson')",Ubisoft
"Name(first='Tiancheng', last='Hu')",University of Cambridge
"Name(first='Nigel', last='Collier')",University of Cambridge
"Name(first='Nishant', last='Balepur')",Unknown
"Name(first='Abhilasha', last='Ravichander')","Allen Institute for Artificial Intelligence; Allen Institute for Artificial Intelligence and School of Computer Science, Carnegie Mellon University"
"Name(first='Rachel', last='Rudinger')","University of Maryland, College Park"
"Name(first='Zhenrui', last='Yue')",Unknown
"Name(first='Huimin', last='Zeng')",Unknown
"Name(first='Lanyu', last='Shang')",Unknown
"Name(first='Yifan', last='Liu')",Unknown
"Name(first='Dong', last='Wang')",University of Illinois at Urbana-Champaign
"Name(first='Nigel', last='Fernandez')","Department of Computer Science, University of Massachusetts at Amherst"
"Name(first='Alexander', last='Scarlatos')","Department of Computer Science, University of Massachusetts at Amherst"
"Name(first='Andrew', last='Lan')","University of Massachusetts, Amherst"
"Name(first='Yilin', last='Wen')",Unknown
"Name(first='Zifeng', last='Wang')","University of Illinois, Urbana Champaign; Google"
"Name(first='Daniel', last='Braun')",University of Twente
"Name(first='Florian', last='Matthes')",Technische Universit�t M�nchen; Technische Universität München
"Name(first='Charlotte', last='Siska')",Unknown
"Name(first='Katerina', last='Marazopoulou')","Department of Computer Science, University of Massachusetts at Amherst, Imperial College London, National Technical University of Athens and Microsoft"
"Name(first='Melissa', last='Ailem')",Microsoft
"Name(first='James', last='Bono')",Microsoft
"Name(first='Eric', last='Pasewark')","Washington University, Saint Louis"
"Name(first='Kyle', last='Montgomery')","Washington University, Saint Louis"
"Name(first='Kefei', last='Duan')","Washington University, Saint Louis"
"Name(first='Dawn', last='Song')",University of California Berkeley
"Name(first='Chenguang', last='Wang')","Washington University, Saint Louis"
"Name(first='Zixuan', last='Ke')",Salesforce AI Research
"Name(first='Weize', last='Kong')",Google
"Name(first='Mingyang', last='Zhang')",Google; Zhejiang University
"Name(first='Qiaozhu', last='Mei')",University of Michigan
"Name(first='Ramana', last='Kompella')",Cisco
"Name(first='Raphaël', last='Mouravieff')",Unknown
"Name(first='Benjamin', last='Piwowarski')","CNRS / ISIR, Sorbonne Université and CNRS"
"Name(first='Sylvain', last='Lamprier')",Université d’Angers
"Name(first='Dun-Ming', last='Huang')",Unknown
"Name(first='Pol', last='Van Rijn')",Max-Planck Institute
"Name(first='Ilia', last='Sucholutsky')",Princeton University
"Name(first='Raja', last='Marjieh')",Princeton University
"Name(first='Nori', last='Jacoby')",Unknown
"Name(first='Theodore', last='Zhao')",Microsoft
"Name(first='Mu', last='Wei')",Microsoft
"Name(first='J.', last='Preston')",Unknown
"Name(first='Victor', last='Agostinelli')",Oregon State University
"Name(first='Max', last='Wild')",Unknown
"Name(first='Matthew', last='Raffel')",Unknown
"Name(first='Kazi', last='Fuad')",Unknown
"Name(first='Lizhong', last='Chen')",Oregon State University
"Name(first='Yuanpu', last='Cao')",Pennsylvania State University
"Name(first='Guanming', last='Xiong')",Unknown
"Name(first='Junwei', last='Bao')",Unknown
"Name(first='Wen', last='Zhao')",Peking University
"Name(first='Boshi', last='Wang')",Ohio State University
"Name(first='Hao', last='Fang')",Microsoft
"Name(first='Yu', last='Su')",Unknown; Ohio State University and Microsoft
"Name(first='Hao', last='Zhao')",Beijing University of Posts and Telecommunications
"Name(first='Zihan', last='Qiu')",Unknown
"Name(first='Huijia', last='Wu')",Beijing University of Posts and Telecommunications
"Name(first='Zili', last='Wang')",Unknown
"Name(first='Zhaofeng', last='He')",Beijing University of Post and Telecommunication
"Name(first='Wenhao', last='Liu')",Unknown
"Name(first='Xiaohua', last='Wang')",Unknown
"Name(first='Muling', last='Wu')",Unknown
"Name(first='Tianlong', last='Li')",Unknown
"Name(first='Changze', last='Lv')",Unknown
"Name(first='Zixuan', last='Ling')",Unknown
"Name(first='Zhu', last='JianHao')",Unknown
"Name(first='Cenyuan', last='Zhang')",Fudan University
"Name(first='Xiaoqing', last='Zheng')",Unknown
"Name(first='Fuwen', last='Luo')",Unknown; Tsinghua University
"Name(first='Chi', last='Chen')",Unknown
"Name(first='Zihao', last='Wan')",Unknown
"Name(first='Zhaolu', last='Kang')",Unknown
"Name(first='Qidong', last='Yan')",Unknown
"Name(first='Yingjie', last='Li')",Westlake University; Unknown
"Name(first='Xiaolong', last='Wang')",Tsinghua University
"Name(first='Siyu', last='Wang')",Unknown
"Name(first='Ziyue', last='Wang')",Unknown; Tsinghua University
"Name(first='Xiaoyue', last='Mi')",Unknown
"Name(first='Ning', last='Ma')",Unknown
"Name(first='Chen', last='Huang')",Sichuan University
"Name(first='Yiping', last='Jin')",Pompeu Fabra University
"Name(first='Ilija', last='Ilievski')",Unknown
"Name(first='Jiancheng', last='Lv')",Sichuan University
"Name(first='Qihao', last='Yang')",South China Normal University
"Name(first='Yong', last='Li')",Unknown; Tsinghua University
"Name(first='Xuelin', last='Wang')",Jinan University
"Name(first='Fu Lee', last='Wang')",Hong Kong Metropolitan University
"Name(first='Tianyong', last='Hao')",Unknown
"Name(first='An', last='Tang')",Unknown
"Name(first='Xiuzhen', last='Zhang')",Unknown; Royal Melbourne Institute of Technology
"Name(first='Minh', last='Dinh')",Unknown
"Name(first='Qiming', last='Xie')",Unknown
"Name(first='Zengzhi', last='Wang')",Unknown
"Name(first='Rui', last='Xia')",Nanjing University of Science and Technology
"Name(first='Peixin', last='Qin')",Unknown
"Name(first='Junhong', last='Liu')",Unknown
"Name(first='Dingnan', last='Jin')",Unknown
"Name(first='Hongru', last='Liang')",Sichuan University
"Name(first='Junlin', last='Lee')",Unknown
"Name(first='Yequan', last='Wang')",Beijing Academy of Artificial Intelligence
"Name(first='Rikui', last='Huang')",Unknown
"Name(first='Wei', last='Wei')",Huazhong University of Science and Technology
"Name(first='Xiaoye', last='Qu')",Shanghai Artificial Intelligence Laboratory
"Name(first='Shengzhe', last='Zhang')",Huazhong University of Science and Technology
"Name(first='Dangyang', last='Chen')",Pingan Technology
"Name(first='Weihong', last='Du')",Unknown
"Name(first='Jia', last='Liu')",Unknown
"Name(first='Zujie', last='Wen')",Unknown
"Name(first='Dingzirui', last='Wang')",Unknown
