researcher_id,paper_id,is_first_author,is_last_author
7805500,10.18653/v1/2020.acl-main.1,True,False
2756960,10.18653/v1/2020.acl-main.1,False,False
103538973,10.18653/v1/2020.acl-main.1,False,True
19320780,10.18653/v1/2020.acl-main.2,True,False
2457504,10.18653/v1/2020.acl-main.2,False,False
37202877,10.18653/v1/2020.acl-main.2,False,True
152613855,10.18653/v1/2020.acl-main.3,True,False
9162688,10.18653/v1/2020.acl-main.3,False,False
145011005,10.18653/v1/2020.acl-main.3,False,False
40539650,10.18653/v1/2020.acl-main.3,False,True
46887780,10.18653/v1/2020.acl-main.4,True,False
1939089,10.18653/v1/2020.acl-main.4,False,False
1717105,10.18653/v1/2020.acl-main.4,False,True
2070558572,10.18653/v1/2020.acl-main.5,True,False
1753948811,10.18653/v1/2020.acl-main.5,False,False
3035069,10.18653/v1/2020.acl-main.5,False,False
2651937,10.18653/v1/2020.acl-main.5,False,False
2046010,10.18653/v1/2020.acl-main.5,False,False
1838162,10.18653/v1/2020.acl-main.5,False,True
2109496214,10.18653/v1/2020.acl-main.6,True,False
2070542993,10.18653/v1/2020.acl-main.6,False,False
51235263,10.18653/v1/2020.acl-main.6,False,False
1799672,10.18653/v1/2020.acl-main.6,False,False
2057047939,10.18653/v1/2020.acl-main.6,False,True
152365288,10.18653/v1/2020.acl-main.7,True,False
2145712176,10.18653/v1/2020.acl-main.7,False,False
2108183338,10.18653/v1/2020.acl-main.7,False,False
1519052027,10.18653/v1/2020.acl-main.7,False,False
1758353,10.18653/v1/2020.acl-main.7,False,False
2068041503,10.18653/v1/2020.acl-main.7,False,False
2118226003,10.18653/v1/2020.acl-main.7,False,False
2806178,10.18653/v1/2020.acl-main.7,False,True
2074330244,10.18653/v1/2020.acl-main.8,True,False
41158993,10.18653/v1/2020.acl-main.8,False,False
1911755,10.18653/v1/2020.acl-main.8,False,False
66870756,10.18653/v1/2020.acl-main.8,False,False
2301680,10.18653/v1/2020.acl-main.8,False,True
2026806395,10.18653/v1/2020.acl-main.9,True,False
46350360,10.18653/v1/2020.acl-main.9,False,False
2145903238,10.18653/v1/2020.acl-main.9,False,False
40354707,10.18653/v1/2020.acl-main.9,False,True
48514481,10.18653/v1/2020.acl-main.10,True,False
39922478,10.18653/v1/2020.acl-main.10,False,False
2256319,10.18653/v1/2020.acl-main.10,False,False
2108672800,10.18653/v1/2020.acl-main.10,False,False
40282288,10.18653/v1/2020.acl-main.10,False,True
22223875,10.18653/v1/2020.acl-main.11,True,False
2288107093,10.18653/v1/2020.acl-main.11,False,False
51176335,10.18653/v1/2020.acl-main.11,False,False
1747849,10.18653/v1/2020.acl-main.11,False,False
145133553,10.18653/v1/2020.acl-main.11,False,True
1382048113,10.18653/v1/2020.acl-main.12,True,False
1491516389,10.18653/v1/2020.acl-main.12,False,False
40879549,10.18653/v1/2020.acl-main.12,False,False
39682108,10.18653/v1/2020.acl-main.12,False,True
