author_id,author_name,affiliation,pqi_score,anci_score,accel_score,h_index,citations
3288474,Takuya Narihira,Unknown,0.78,0.89,0.0,11,609
32885778,Huaibo Huang,Unknown,2.19,0.44,0.0,25,3302
3289155,Digbalay Bose,University of Southern California,1.08,1.73,0.0,10,337
32891912,An Dau,Unknown,1.41,0.78,0.0,5,104
3289329,Stefan Riezler,Unknown,2.56,3.73,0.14,33,4249
3289579,Dingju Zhu,Unknown,2.41,3.95,0.0,9,252
32899078,Prasanna Parthasarathi,Mila,1.63,2.62,-0.3,9,425
3290098,Christopher Kanan,University of Rochester,2.5,2.27,0.0,37,10230
3290437,Shiliang Pu,Unknown,1.95,1.76,0.1,45,8059
3291191,Shai Gretz,Unknown,1.58,1.69,0.17,11,581
3291447,Simon Flachs,Unknown,2.28,0.94,0.0,4,61
32918271,Gregory Yauney,Cornell University,2.34,2.18,1.92,9,449
3292561,Josef Steinberger,Unknown,1.19,1.58,0.0,25,2258
3292652,Rajen Chatterjee,Unknown,1.9,2.06,0.0,17,2551
3292660,Haitong Yang,Unknown,2.62,4.04,0.0,7,118
3293543,Endong Xun,Unknown,2.68,2.25,0.0,8,467
32941713,David Smith,Unknown,2.42,3.04,0.0,27,2720
3294328,Angelika Kimmig,Unknown,2.24,0.45,0.0,23,2908
3294614,Heming Sun,Unknown,2.49,1.27,0.44,20,2576
32946276,Mattia Atzeni,Unknown,2.05,0.62,0.0,12,451
3295092,Sumit Chopra,Unknown,3.6,108.13,-0.38,28,25554
3295381,Miryam Lhoneux,KU Leuven,2.45,2.35,0.82,14,796
32957876,Shoji Kido,Unknown,2.21,0.43,0.0,22,2050
3296090,Cecile T. Balkanski,Unknown,2.23,1.18,0.0,5,63
3297022,Sang-Ki Ko,Unknown,1.21,0.64,0.0,11,719
3297528,Peter Cholak,Unknown,2.96,42.0,0.44,15,1041
3298112,Hassane Essafi,Unknown,2.31,0.68,0.0,8,171
3298532,Qibin Hou,Unknown,0.3,0.0,0.0,41,13587
32987878,Nigel Ward,Unknown,0.55,0.22,0.0,23,2235
3299116,Frederick B. Thompson,Unknown,1.6,0.0,0.0,10,539
3299250,Zhiyang He,Unknown,2.03,0.24,0.0,4,132
3299718,Junwei Bao,JD AI Research,1.88,1.61,0.42,17,1292
3299973,Araz Taeihagh,"Lee Kuan Yew School of Public Policy, National University of Singapore",2.74,3.06,0.26,27,2785
3300112,Jiye Liang,Unknown,2.5,2.45,0.0,60,12631
3300216,Anlei Dong,Unknown,2.07,1.64,0.91,21,1392
3300407,Burcu Can,Unknown,1.25,1.0,0.0,11,381
33005304,Sohi Sudhir,Unknown,2.71,2.76,0.0,2,45
3300609,Constantinos Boulis,Unknown,2.81,5.89,0.0,10,454
3301272,Allan Borra,Unknown,2.35,1.08,0.0,8,104
33014152,Masoud Sabet,"Ludwig Maximilian University of Munich, LMU",1.83,3.39,0.69,6,423
3301787,Kun-Yu Tsai,Unknown,1.7,0.29,0.0,3,17
33019343,Jinhao Lei,Unknown,3.11,12.42,0.0,5,587
3302531,David Kauchak,Unknown,2.79,14.34,-0.26,18,1988
3302659,Tommy Sandbank,Unknown,2.53,1.18,0.26,5,151
3302745,Gustavo Paetzold,Unknown,2.28,10.05,-0.45,19,1453
3303069,Jin-ge Yao,Unknown,2.55,3.11,-0.42,15,733
33035064,Joël Legrand,Unknown,1.56,1.03,0.71,9,274
3303551,Md Islam,Unknown,2.49,3.8,0.0,17,990
3303634,Zhihong Shen,Unknown,1.48,7.28,0.14,13,3151
3304289,Taygun Kekeç,Unknown,2.03,0.47,0.0,4,113
3305169,Zhicheng Yan,Unknown,2.6,1.37,0.0,23,3882
3305330,Hanbit Lee,Unknown,2.59,1.7,-0.37,8,220
3305402,Yanran Li,Unknown,1.94,2.41,0.0,15,2961
3305422,Ivan Sekulic,Università della Svizzera italiana (USI),3.3,28.27,-0.55,10,652
3305985,Michiaki Tatsubori,Unknown,1.66,0.51,-0.31,23,1678
3306377,JiaQi Wu,Unknown,2.4,1.5,0.0,10,188
3306556,Kenneth Joseph,Unknown,2.63,2.63,-0.37,21,2793
3306904,Fabio Mercorio,Unknown,1.45,0.15,0.0,23,1589
3307026,Shiyu Chang,Unknown,2.83,5.81,-0.15,56,10446
3308561,Leonid Boytsov,Amazon AWS AI Labs,3.27,14.78,-0.09,15,1344
3308665,Mengjiao Wang,Meta AI,2.55,1.5,0.59,9,199
3308806,Nora Al-Twairesh,Unknown,2.89,7.38,0.0,8,417
3308897,Matthew Hausknecht,Unknown,2.86,8.69,-0.13,25,7569
3309003,Hady Lauw,Unknown,2.15,0.76,0.0,28,3747
3309033,Cristina Giannone,Unknown,1.27,1.94,2.0,6,142
3309785,Sam Bayer,Unknown,2.45,2.2,0.0,6,282
3310314,Pidong Wang,Unknown,2.42,1.08,0.0,13,508
3310404,Sadia Afroz,Unknown,2.62,1.17,-0.21,25,2711
3310475,Jochen Dörre,Unknown,2.47,2.37,0.0,13,607
3310534,Prashant Shiralkar,Unknown,2.09,4.02,0.05,12,1470
3310951,Dan Iter,Stanford University,2.23,12.64,1.91,17,4053
3311387,Dan Alistarh,Unknown,2.42,2.44,0.0,38,10725
3311552,Xiaoyong Huai,Unknown,3.21,29.37,1.08,5,342
3312309,Yonatan Bisk,Carnegie Mellon University,2.42,11.94,0.24,42,13909
3312584,Kepa Bengoetxea,Unknown,1.87,0.35,0.0,9,786
3313180,Jihong Ouyang,Unknown,1.96,4.25,0.26,19,1188
3313330,Gedas Bertasius,Unknown,2.99,6.77,9.0,27,5226
3313369,Sho Hoshino,Unknown,2.19,1.15,0.0,4,62
3313588,Harry Porter,Unknown,2.26,1.28,0.0,4,153
3313648,Brigitte Krenn,Unknown,3.23,22.3,0.0,16,2058
3313754,Issei Yoshida,IBM Research - Tokyo,1.15,0.32,0.26,2,19
3313797,Meng-Da Yang,Unknown,1.13,1.15,0.0,3,25
3313909,Soumya Sanyal,"Indian Institute of Science, Bangalore",2.2,5.07,0.49,12,2698
33143239,Madina Hasan,Unknown,0.92,0.45,0.26,20,1201
3314511,Tu Nguyen,Unknown,3.03,27.2,-0.42,22,2735
33145619,Shyam Upadhyay,Unknown,2.66,7.07,0.03,19,3449
3314779,Weituo Hao,Unknown,1.84,0.1,0.0,11,1398
3315591,Hideaki Tamori,Unknown,2.39,0.77,0.26,6,48
3315620,Klaus Zechner,Unknown,1.81,0.84,0.0,29,2778
3315931,Michaeel Kazi,Unknown,1.71,0.5,0.0,5,51
3316306,Payam Pourashraf,Unknown,2.02,0.3,0.0,4,25
3316623,Jakub Zavrel,Unknown,3.02,8.46,0.0,18,2728
3316824,Melissa Roemmele,Unknown,0.66,0.71,0.0,12,1278
3317139,Tanapong Potipiti,Unknown,2.54,1.08,0.0,7,183
3317152,Oana-Maria Camburu,University of Oxford,2.39,2.61,-0.04,12,2537
3317638,Yijia Liu,Unknown,2.85,4.2,-0.42,19,1533
3318039,Nadin Kökciyan,Unknown,2.07,1.06,0.0,13,556
3318369,Guanchun Wang,Unknown,2.7,1.78,-0.21,17,706
3318604,Reiko Mazuka,Unknown,2.12,1.0,0.0,28,2487
3318905,Adam Fourney,Microsoft Research,1.94,2.3,0.44,23,2658
3318963,Mingbin Xu,Unknown,2.51,4.6,-0.31,8,380
3319373,Dirk Weissenborn,Unknown,2.09,1.72,0.0,19,45476
3320836,Guihong Cao,Unknown,2.6,3.58,-0.08,19,3081
33208854,Sumio Fujita,Unknown,2.09,0.78,0.0,13,526
3321637,Taichi Yatsuka,Unknown,2.57,4.09,0.0,2,95
3321831,Julia Dembowski,Unknown,2.74,4.32,-0.21,2,50
33219438,Xuchen Yao,Unknown,2.51,29.27,-0.09,15,1631
3322871,Zhuosheng Zhang,Shanghai Jiao Tong University,1.97,4.52,1.82,32,5226
33229028,Hyungjoon Soh,Unknown,1.61,6.37,-0.13,3,108
3323264,Xianchao Wu,Unknown,1.78,2.49,0.14,12,416
3323275,Kishore Papineni,Unknown,3.6,486.91,0.5,17,29764
3324957,Sagnik Choudhury,Interactions LLC,1.3,0.31,0.0,17,653
33253422,Le Yu,Unknown,2.34,0.71,0.26,17,1015
3325943,Junkwang Oh,Unknown,1.66,0.09,0.0,2,55
3326124,Tomoki Hayashi,Unknown,1.89,5.1,-0.33,32,6292
3326473,Sandra Carberry,Unknown,2.75,4.85,0.44,34,4464
