researcher_id,first_name,last_name
~HU_Ruixian2,Yebowen,Hu
~Kenny_Song4,Kaiqiang,Song
~GYU-HWUNG_CHO2,Sangwoo,Cho
~Barrie_Wang3,Xiaoyang,Wang
~Eslam_Ali_Hassan_Hussein1,Hassan,Foroosh
~Mingzhi_Dong5,Dong,Yu
~Caique_Roberto_de_Almeida1,Fei,Liu
~Barrie_Wang3,Qingyun,Wang
~Renée_St._Amant1,Doug,Downey
~Yi_Fung1,Heng,Ji
~Teresa_A_Nick1,Tom,Hope
~Jian-Feng_CAI1,Yiren,Jian
~Bozhao_Liu1,Tingkai,Liu
~Zhangtao1,Yunzhe,Tao
~Stefanos_Zafeiriou1,Chunhui,Zhang
~Mohammad_Javad_Rajabi1,Soroush,Vosoughi
~Yee_Hong_Yang1,Hongxia,Yang
~Amrit_Krishnan2,Abhishek,Kumar
~Robert_Madison_Radway1,Robert,Morabito
~Sanzhar_Umbet1,Sanzhar,Umbet
~Jad_Kabbara1,Jad,Kabbara
~Dali_Kaafar1,Ali,Emami
~Wei_Wang4,Weixuan,Wang
~Pengrui_Han1,Barry,Haddow
~Alexandra_Ivoylova1,Alexandra,Birch
~Il_Memming_Park1,Brendan,Park
~Madeline_Loui_Anderson1,Madeline,Janecek
~Naser_Ezzati-Jivan1,Naser,Ezzati-Jivan
~Yuanming_Li1,Yifeng,Li
~Dali_Kaafar1,Ali,Emami
~Amrit_Krishnan2,Abhishek,Kumar
~Sarfaroz_Yunusov1,Sarfaroz,Yunusov
~Dali_Kaafar1,Ali,Emami
~Neamat_El_Gayar1,Alexandria,Leto
~Elliot_Erickson_Pickens1,Elliot,Pickens
~Tridib_Kalyan_Biswas1,Coen,Needell
~David_Pruitt1,David,Rothschild
~Estrella_Vallecillo-Rodríguez1,Maria Leonor,Pacheco
~Barrie_Wang3,Xiyao,Wang
~Charles_Zhou1,Yuhang,Zhou
~Bozhao_Liu1,Xiaoyu,Liu
~Dat_Van_NGUYEN1,Hongjin,Lu
~Xu_Cao4,Yuancheng,Xu
~haonan_he5,Feihong,He
~GYU-HWUNG_CHO2,Jaehong,Yoon
~Dat_Van_NGUYEN1,Taixi,Lu
~Bozhao_Liu1,Fuxiao,Liu
~Gedas_Bertasius1,Gedas,Bertasius
~Mayank_Bansal4,Mohit,Bansal
~Danfeng_Yao2,Huaxiu,Yao
~Chun-Hao_Paul_Huang2,Furong,Huang
~longjun_gao1,Chufan,Gao
~Barrie_Wang3,Xuan,Wang
~Xu_Cao4,Jimeng,Sun
~ShengYun_Peng1,Letian,Peng
~YU-WEI_LIU1,Yuwei,Zhang
~Barrie_Wang3,Zilong,Wang
~Manikandasriram_S._Ramanagopal1,Jayanth,Srinivasa
~Bozhao_Liu1,Gaowen,Liu
~Barrie_Wang3,Zihan,Wang
~Mingzhi_Dong1,Jingbo,Shang
~Charles_Zhou1,Yuhang,Zhou
~Xu_Cao4,Paiheng,Xu
~Bozhao_Liu1,Xiaoyu,Liu
~朱海丰1,Bang,An
~Xu_Cao4,Wei,Ai
~Chun-Hao_Paul_Huang2,Furong,Huang
~Charlie_Tianyue_Cheng1,Qi,Cheng
~Michael_Greenspan1,Michael,Boratko
~Sowmya_Kumar1,Pranay Kumar,Yelugam
~Omar_Alvarado-Cando1,Tim,O’Gorman
~Vivek_Kumar_Singh1,Nalini,Singh
~Andrew_Abel2,Andrew,McCallum
~Yuanming_Li1,Xiang,Li
~Yi_Xie7,Yueqi,Xie
~Ya_Wang13,Minghong,Fang
~Artur_M._Schweidtmann1,Renjie,Pi
~hanlinqi2,Neil,Gong
~Yeonjin_Lee1,Gyeongeun,Lee
~Sidney_Gig-Jan_Wong1,Christina,Wong
~郭可嘉1,Meghan,Guo
~Nicholas_Franzese1,Natalie,Parde
~Barrie_Wang3,Luran,Wang
~Phil_Woodland1,Mark,Gales
~Vatsal_Pravinbhai_Patel1,Vatsal,Raina
~YU-WEI_LIU1,Yuwei,Zhang
~Vivek_Kumar_Singh1,Siffi,Singh
~Anirvan_Sengupta1,Sailik,Sengupta
~Leonid_Reznik1,Igor,Shalyminov
~OU_ZHENG1,Hang,Su
~Kenny_Song4,Hwanjun,Song
~Eva_Tardos1,Saab,Mansour
~haonan_he5,Taiqi,He
~Choi_Youngrok2,Kwanghee,Choi
~Lindia_Tjuatja1,Lindia,Tjuatja
~Nathaniel_Romney_Robinson1,Nathaniel,Robinson
~Bertram_E._Shi1,Jiatong,Shi
~François_Germain1,Shinji,Watanabe
~Yvette_Graham2,Graham,Neubig
~David_R_Mortensen1,David,Mortensen
~David_Levin_I.W.1,Lori,Levin
