author_id,author_name,coauthor_average_h_index
1692756,Byoung-Tak Zhang,2.13
1692855,Guido Zuccon,1.44
1692929,Angelo Cangelosi,0.5
1692960,Gaoyan Ou,2.67
1693022,Ulf Leser,2.43
1693038,Alexandre Termier,0.0
1693125,Anthony Tomasic,7.4
1693135,Peter Ramadge,1.75
1693244,Osama Khalid,1.5
1693369,Antoine Raux,0.0
1693407,Koby Crammer,6.0
1693428,Larry Davis,12.33
1693485,Young-In Song,1.8
1693515,Mohammed Zaki,2.2
1693517,David Yarowsky,4.27
1693525,Roy Bar-Haim,3.0
1693612,Khe Chai Sim,0.69
1693668,Kenji Fukumizu,4.75
1693768,Carl Gutwin,0.0
1693972,Carey Priebe,3.0
1693993,Dan Tufiș,0.2
1693997,Liang Wang,1.2
1694037,Kathy Lee,2.22
1694050,Hongyu Guo,3.36
1694095,K. Shirai,0.0
1694209,Qingkai Zeng,3.94
1694235,Hanqing Lu,1.8
1694273,Xiaoli Fern,1.89
1694341,Jong-Hoon Oh,1.45
1694462,Zoltán Bánréti,1.0
1694491,Filip Ginter,3.4
1694502,C V Jawahar,0.33
1694512,Hassan Chafi,0.0
1694652,Rafael Banchs,1.5
1694803,D. Stott Parker,1.0
1694832,Ram Nevatia,1.5
1695128,Anastasios Sidiropoulos,0.67
1695158,Tingting Mu,2.0
1695275,Ronny Luss,0.56
1695451,Sujian Li,5.81
1695463,Daniel Marcu,3.55
1695492,Wilfred Ng,4.78
1695512,Srikanth Madikeri,1.58
1695558,Richmond H. Thomason,2.0
1695574,Tony Veale,1.0
1695611,W. John Wilbur,0.0
1695689,Geoffrey Hinton,6.29
1695766,Jean-marc Ogier,1.0
1695812,Liliana Ardissono,0.0
1695845,Manos Papagelis,0.0
1695936,Maseud Rahgozar,0.67
1695993,Julian Risch,0.0
1695997,Jennifer Chayes,2.22
1696030,M. Rijke,2.04
1696127,Tatsunori Mori,0.33
1696134,Hannes Pirker,0.2
1696175,Andreas Maletti,4.5
1696183,Shlomo Berkovsky,2.0
1696332,Bolin Ding,3.75
1696402,Christof Monz,3.0
1696542,Guillaume Wisniewski,3.25
1696620,Stephan Clémençon,3.0
1696645,Nizar Habash,2.17
1696719,Filip Pavetic,0.2
1696761,Francisco Casacuberta,1.2
1696833,Kedar Dhamdhere,1.0
1696945,Irina Illina,4.0
1697004,Daniel Katz,4.8
1697068,Zhaoquan Gu,0.0
1697141,Honglak Lee,12.0
1697232,James Caverlee,1.17
1697314,Ehud Aharoni,5.6
1697366,Diana Inkpen,3.8
1697381,Masaki Murata,1.0
1697386,Douglas E. Appelt,2.14
1697414,Claudio Giuliano,4.5
1697444,Osbert Bastani,2.0
1697493,Yiannis Aloimonos,0.2
