ranking,author_id,author_name,pqi_score,paper_count,career_length
52,3030212,Moustafa Alzantot,3.664342931468653,1,8
53,2244761,Xinghua Lu,3.660290623687953,1,7
54,2049408469,Zhengping Liu,3.660290623687953,1,7
55,2144058688,Xudong Shen,3.6531244073250284,1,4
56,2162781785,Phani Kaza,3.6531244073250284,1,4
57,2150098899,Sujan Reddy,3.6531244073250284,1,4
58,2063938464,Arjun Ashok,3.6531244073250284,1,4
59,72254820,Rushang Karia,3.6531244073250284,1,4
60,2162779517,Arut Dhanasekaran,3.6531244073250284,1,4
61,2162779320,Amirreza Mirzaei,3.6531244073250284,1,4
62,1380075136,Savan Doshi,3.6531244073250284,1,4
63,2110871234,Jacob Anderson,3.6531244073250284,1,4
64,93841942,Ishan Purohit,3.6531244073250284,1,4
65,39765564,Pulkit Verma,3.6531244073250284,1,4
66,1693407,Koby Crammer,3.6520740057748307,1,21
67,10238549,Tianlin Shi,3.6518295401084044,1,9
68,2209136299,Yifan Li,3.644289767305592,1,3
69,39347554,Roei Schuster,3.6432177558934042,1,5
70,2410839,Amar Budhiraja,3.6430478965130555,1,6
71,47070483,Pratik Joshi,3.6430478965130555,1,6
72,1718192,Xiaodan Song,3.629457968744156,1,6
73,1769629,Candace A. Kamm,3.62631246659964,1,29
74,83390207,Willem Zuidema,3.6239193498922355,1,6
75,2267264117,Yang Ye,3.619579491010608,1,2
76,2253434320,Munan Ning,3.619579491010608,1,2
77,2256419313,Bin Zhu,3.619579491010608,1,2
78,2254329478,Bin Lin,3.619579491010608,1,2
79,2329283,Zhongqian Sun,3.616869395231619,1,9
80,2158503643,Peng Chen,3.616869395231619,1,9
81,2107939988,Ritesh Kumar,3.61245825923762,1,7
82,2563432,Wojciech Zaremba,3.6103208053446716,1,11
83,2108925678,Rie Johnson,3.60875429007009,2,11
84,50728655,Tong Zhang,3.60875429007009,2,11
85,2218311992,Federico Lebr'on,3.599940400876533,1,3
86,2114012102,Ran Zhao,3.599920087142346,1,9
87,2391802,Hanxiao Liu,3.598829576387544,2,9
88,2111181927,Salman Khan,3.5985796667811023,1,2
89,2097712964,Hanoona Rasheed,3.5985796667811023,1,2
90,32437679,Muhammad Maaz,3.5985796667811023,1,2
91,2358803,Fahad Khan,3.5985796667811023,1,2
92,3295092,Sumit Chopra,3.596176958342884,4,12
93,3323275,Kishore Papineni,3.595132250196936,3,24
94,1729928,Alan Mislove,3.595126376624979,1,9
95,31413949,Sune Lehmann,3.595126376624979,1,9
96,3451828,Ivana Balazevic,3.592609752210648,1,7
97,37614272,Jeongwoo Ko,3.5912742083345144,1,6
98,2064494954,Gaurav Nemade,3.5912742083345144,1,6
99,49531494,Alan Cowen,3.5912742083345144,1,6
100,2212602,Thi-Lan-Giao Hoang,3.5886132307137086,1,9
