researcher_id,first_name,last_name
,Taiqi,He
,Kwanghee,Choi
,Lindia,Tjuatja
,Nathaniel,Robinson
,Jiatong,Shi
,Shinji,Watanabe
,Graham,Neubig
,David,Mortensen
,Lori,Levin
,Yibo,Hu
,Erick,Skorupa Parolin
,Latifur,Khan
,Patrick,Brandt
,Javier,Osorio
,Vito,D’Orazio
,Ziyao,Xu
,Houfeng,Wang
,Haochen,Shi
,Zhiyuan,Sun
,Xingdi,Yuan
,Marc-Alexandre,Côté
,Bang,Liu
,Ying,Shen
,Zhiyang,Xu
,Qifan,Wang
,Yu,Cheng
,Wenpeng,Yin
,Lifu,Huang
,Yiqing,Xie
,Sheng,Zhang
,Hao,Cheng
,Pengfei,Liu
,Zelalem,Gero
,Cliff,Wong
,Tristan,Naumann
,Hoifung,Poon
,Carolyn,Rose
,Congying,Xia
,Chen,Xing
,Jiangshu,Du
,Xinyi,Yang
,Yihao,Feng
~Xu1,Ran,Xu
,Wenpeng,Yin
,Caiming,Xiong
,Young,Yoo
~Jii_Cha1,Jii,Cha
~Changhyeon_Kim1,Changhyeon,Kim
~Taeuk_Kim1,Taeuk,Kim
~Seonghoon_Lim1,Seonghoon,Lim
~Taejun_Yun1,Taejun,Yun
~Jinhyeon_Kim1,Jinhyeon,Kim
~Jihun_Choi1,Jihun,Choi
~Taeuk_Kim1,Taeuk,Kim
~Sreyan_Ghosh1,Sreyan,Ghosh
~Utkarsh_Tyagi1,Utkarsh,Tyagi
~Sonal_Kumar1,Sonal,Kumar
,Chandra Kiran,Evuru
~Ramaneswaran_S1,Ramaneswaran,S
~S_Sakshi1,S,Sakshi
~Dinesh_Manocha1,Dinesh,Manocha
~Lucas_Bandarkar1,Lucas,Bandarkar
~Davis_Liang1,Davis,Liang
~Benjamin_Muller1,Benjamin,Muller
~Mikel_Artetxe1,Mikel,Artetxe
,Satya Narayan,Shukla
~Donald_Husa1,Donald,Husa
~Naman_Goyal1,Naman,Goyal
~Abhinandan_Krishnan1,Abhinandan,Krishnan
~Luke_Zettlemoyer1,Luke,Zettlemoyer
~Madian_Khabsa1,Madian,Khabsa
~Chenyang_An1,Chenyang,An
~Zhibo_Chen1,Zhibo,Chen
~Qihao_Ye1,Qihao,Ye
~Emily_First1,Emily,First
~Letian_Peng1,Letian,Peng
~Jiayun_Zhang1,Jiayun,Zhang
~Zihan_Wang1,Zihan,Wang
~Sorin_Lerner1,Sorin,Lerner
~Jingbo_Shang1,Jingbo,Shang
~Saehyung_Lee1,Saehyung,Lee
~Sangwon_Yu1,Sangwon,Yu
